betroffene_anlage,location,gathered,core
SHN Cluster Süderdonn T411,süderdonn,0,0
SHN Cluster Süderdonn T412 T413,süderdonn,0,0
SHN Cluster Klixbüll,klixbüll,0,0
SHN Cluster Heide West T411 T412,heide,64,7
SHN Cluster Heide West T413,heide,64,7
SHN Cluster Krümmel,krümmel,0,0
AVA Cluster Ohlensehlen,ohlensehlen,0,0
AVA Cluster Wechold,wechold,0,0
AVA Cluster Stadorf,stadorf,0,0
BAG NWAK-Cluster 17 Altheim,altheim,7,4
BAG NWAK-Cluster 05 Kriegenbrunn-Ludersheim,kriegenbrunn ludersheim,0,0
BAG NWAK-Cluster 02 Oberhaid-Redwitz,oberhaid redwitz,5,2
BAG NWAK-Cluster 01 Mechlenreuth,mechlenreuth,0,0
TTG Cluster EE Bechterdissen T411,bechterdissen,0,0
SHN Cluster Lübeck,lübeck,0,0
AVA Cluster Lüneburg T412,lüneburg,0,0
BAG NWAK-Cluster 13 Etzenricht,etzenricht,0,0
AVA Cluster Gießen Nord T413 T414,gießen,0,0
AVA Cluster Lüneburg T413,lüneburg,0,0
BAG NWAK-Cluster 08 Neufinsing,neufinsing,0,0
BAG NWAK-Cluster 10 Oberbachern,oberbachern,0,0
AVA Cluster Vörden,vörden,0,0
AVA Cluster Voslapp,voslapp,0,0
SHN Cluster Brunsbüttel,brunsbüttel,0,0
CROC Cluster Görries,görries,0,0
AVA Cluster SC Dipperz Großkrotzenburg,dipperz großkrotzenburg,0,0
CROC Cluster Güstrow,güstrow,0,0
